100 539 368
200 1278 853
300 2100 1415
400 2954 2002
500 3871 2604
600 4799 3205
700 5755 3783
800 6715 4451
900 7711 5129
1000 8718 5830
1100 9748 6519
1200 10779 7212
1300 11824 7904
1400 12920 8618
1500 13920 9316
1600 15079 9988
1700 16129 10674
1800 17214 11395
1900 18355 12101
2000 19424 12788
2100 20527 13484
2200 21616 14183
2300 22852 14982
2400 23953 15741
2500 25126 16517
2600 26318 17327
2700 27393 18082
2800 28577 18880
2900 29769 19661
3000 30943 20451
3100 32094 21284
3200 33235 22051
3300 34421 22841
3400 35674 23677
3500 36865 24408
3600 38056 25234
3700 39188 26032
3800 40383 26805
3900 41600 27598
4000 42911 28432
4100 44117 29251
4200 45256 29989
4300 46491 30796
4400 47755 31601
4500 48933 32400
4600 50153 33153
4700 51423 33979
4800 52778 34784
4900 53911 35562
5000 55221 36376
